termo;variavel;categoria;referencia;unidade;escala_numerica;centro;imputados;mediana_imputacao;beta_log_odds;erro_padrao_cluster;z;p_valor;beta_ic95_inferior;beta_ic95_superior;odds_ratio;or_ic95_inferior;or_ic95_superior;significativo_5pct
TipoDisputa[MELHOR TÉCNICA E PREÇO];TipoDisputa;MELHOR TÉCNICA E PREÇO;MENOR LANCE;categoria versus referencia;1.0;0.0;0;;-0.6699056357924558;0.6599315619394411;-1.0151138003215097;0.3100515839740118;-1.9633477294550243;0.6235364578701128;0.5117568670393315;0.14038765347702775;1.8655137006386902;False
TipoEncerramento[ABERTO E FECHADO];TipoEncerramento;ABERTO E FECHADO;ABERTO;categoria versus referencia;1.0;0.0;0;;0.18437566505056546;0.06977206798682072;2.642542644506284;0.008228610239989529;0.04762492466951679;0.32112640543161414;1.2024674632586663;1.048777211084418;1.378679842500264;True
TipoEncerramento[FECHADO];TipoEncerramento;FECHADO;ABERTO;categoria versus referencia;1.0;0.0;0;;0.9470814761914784;0.18878182562029902;5.0168043087811;5.253803229060805e-07;0.5770758970399714;1.3170870553429854;2.5781742056624344;1.7808234987029128;3.732532864477892;True
TipoEncerramento[FECHADO E ABERTO];TipoEncerramento;FECHADO E ABERTO;ABERTO;categoria versus referencia;1.0;0.0;0;;-0.7135057639883808;0.37818103048769763;-1.8866778248191152;0.059203672046075004;-1.4547269633805122;0.027715435403750655;0.4899236266581955;0.2334640994481713;1.0281030810529572;False
TipoLance[GLOBAL];TipoLance;GLOBAL;UNITÁRIO;categoria versus referencia;1.0;0.0;0;;0.48593272686580996;0.11007468099368578;4.414573110538331;1.0120950822135146e-05;0.2701903165084502;0.7016751372231698;1.6256906272288687;1.3102137823189106;2.017128846547661;True
TipoLance[KIT];TipoLance;KIT;UNITÁRIO;categoria versus referencia;1.0;0.0;0;;0.27205962887084506;0.28346969245229675;0.9597485590690729;0.33718177758155843;-0.2835307590443022;0.8276500167859924;1.3126652717254474;0.7531199565336825;2.2879358070987186;False
tipo_lote_calc[Lote global];tipo_lote_calc;Lote global;Lote unitário;categoria versus referencia;1.0;0.0;0;;-0.6413632289049997;0.14626395562784666;-4.384971171823641;1.1600113977795296e-05;-0.9280353141719437;-0.35469114363805576;0.5265740935049272;0.3953296464404821;0.701390038534034;True
tipo_lote_calc[Lote global/kit];tipo_lote_calc;Lote global/kit;Lote unitário;categoria versus referencia;1.0;0.0;0;;-0.34876962237791137;0.18954599846006306;-1.8400263007999949;0.065764376095966;-0.7202729527733196;0.0227337080174968;0.7055556557823454;0.4866194137124425;1.0229940881491937;False
grupo_exclusividade_regionalidade[ME_EPP_E_REGIONAL_LOCAL];grupo_exclusividade_regionalidade;ME_EPP_E_REGIONAL_LOCAL;SEM_CRITERIO;categoria versus referencia;1.0;0.0;0;;0.03454046854675157;0.1785899430177874;0.1934065712945066;0.8466405694479775;-0.31548938776917224;0.3845703248626754;1.0351439182985487;0.7294318118980165;1.4689830003469666;False
grupo_exclusividade_regionalidade[SOMENTE_ME_EPP];grupo_exclusividade_regionalidade;SOMENTE_ME_EPP;SEM_CRITERIO;categoria versus referencia;1.0;0.0;0;;0.18120799034868068;0.0673943783450222;2.688770114044161;0.0071715788350231085;0.04911743603197105;0.3132985446653903;1.1986644640077138;1.0503436916929085;1.3679298582344217;True
grupo_exclusividade_regionalidade[SOMENTE_REGIONAL_LOCAL];grupo_exclusividade_regionalidade;SOMENTE_REGIONAL_LOCAL;SEM_CRITERIO;categoria versus referencia;1.0;0.0;0;;-0.028608319360011018;0.3491799247207695;-0.08193002327636212;0.9347023595676653;-0.7129883959371265;0.6557717572171043;0.971797024013141;0.49017716307034753;1.926628833471917;False
familia_textual_ml[FAMILIAS_RARAS_MENOS_100];familia_textual_ml;FAMILIAS_RARAS_MENOS_100;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.7251087398929514;0.478369334500815;-1.5157926890309816;0.12957178129329613;-1.6626954068229427;0.21247792703703983;0.4842719064168918;0.18962716827765724;1.2367388147739533;False
familia_textual_ml[FAMILIA_02];familia_textual_ml;FAMILIA_02;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;0.38620198713468834;0.08114673875392832;4.75930386193114;1.942617954907906e-06;0.22715730171410817;0.5452466725552685;1.4713818410035522;1.2550272703548824;1.7250338484061927;True
familia_textual_ml[FAMILIA_05];familia_textual_ml;FAMILIA_05;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.0005700092642501319;0.2452610872192774;-0.0023240917289929124;0.9981456447609002;-0.48127290702317077;0.48013288849467056;0.9994301531601679;0.6179962391732315;1.6162891741575218;False
familia_textual_ml[FAMILIA_07];familia_textual_ml;FAMILIA_07;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.8800903072801598;0.30768885543792834;-2.86032559101805;0.004232062649710809;-1.4831493823828505;-0.27703123217746906;0.414745455456281;0.22692189799879514;0.7580308217876413;True
familia_textual_ml[FAMILIA_09];familia_textual_ml;FAMILIA_09;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;1.4890102927486404;0.261656090172169;5.690715212357089;1.2650835189716908e-08;0.9761737796756244;2.0018468058216565;4.432706265789679;2.6542809242207017;7.402714859407733;True
familia_textual_ml[FAMILIA_10];familia_textual_ml;FAMILIA_10;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;0.15996501881190037;0.09439961543595907;1.6945515940202218;0.09016051637002456;-0.025054827597010748;0.3449848652208115;1.1734698209052896;0.9752564395954113;1.411968549673724;False
familia_textual_ml[FAMILIA_12];familia_textual_ml;FAMILIA_12;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.5631080042189931;0.3516878221150572;-1.6011586663207469;0.10934178109786859;-1.2524034693658344;0.12618746092784816;0.5694364996637966;0.28581701821631145;1.1344948218022233;False
familia_textual_ml[FAMILIA_14];familia_textual_ml;FAMILIA_14;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;1.9006703444006614;0.7926778500350652;2.3977840989458485;0.016494584271514467;0.3470503069892916;3.454290381812031;6.690377796709947;1.4148879023306158;31.63583135383268;True
familia_textual_ml[FAMILIA_16];familia_textual_ml;FAMILIA_16;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;0.4380106705722414;0.39068476985596634;1.1211357707486849;0.26223007448660496;-0.32771740765377233;1.2037387487982552;1.5496214426788393;0.7205666175474166;3.3325532395372575;False
familia_textual_ml[FAMILIA_17];familia_textual_ml;FAMILIA_17;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.33327796192087944;0.41666182644093097;-0.7998764004077233;0.423782412222804;-1.149920135477783;0.48336421163602405;0.7165709870229835;0.3166620584331917;1.621520374065982;False
familia_textual_ml[FAMILIA_18];familia_textual_ml;FAMILIA_18;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-1.1321111952551721;0.337161226243701;-3.357773988035265;0.0007857282990608903;-1.792935055676187;-0.4712873348341573;0.32235198954077743;0.16647085071381978;0.6241981987557128;True
familia_textual_ml[FAMILIA_19];familia_textual_ml;FAMILIA_19;FAMILIA_13;categoria versus referencia;1.0;0.0;0;;-0.0553357720245711;0.16124140970603124;-0.3431858610356795;0.7314586407620671;-0.3713631278648595;0.2606915838157172;0.9461673980678755;0.6897934128653592;1.2978273327484995;False
