termo;variavel;categoria;referencia;unidade;escala_numerica;centro;imputados;mediana_imputacao;beta_log_odds;erro_padrao_cluster;z;p_valor;beta_ic95_inferior;beta_ic95_superior;odds_ratio;or_ic95_inferior;or_ic95_superior;significativo_5pct
TipoDisputa[MAIOR DESCONTO];TipoDisputa;MAIOR DESCONTO;MENOR LANCE;categoria versus referencia;1.0;0.0;0;;-1.0110993746115122;0.21261392003115528;-4.755565272788119;1.978919063421285e-06;-1.4278150004844559;-0.5943837487385687;0.36381878649371313;0.2398323837962817;0.5519025717485704;True
TipoDisputa[MAIOR LANCE];TipoDisputa;MAIOR LANCE;MENOR LANCE;categoria versus referencia;1.0;0.0;0;;2.2313770852370807;0.5092122796774466;4.382017430236591;1.1758539942513421e-05;1.2333393565837478;3.2294148138904135;9.312681609782016;3.432673338499882;25.26486799442223;True
TipoDisputa[MELHOR TÉCNICA];TipoDisputa;MELHOR TÉCNICA;MENOR LANCE;categoria versus referencia;1.0;0.0;0;;1.1177670525724905;0.8966907293220118;1.2465469041010768;0.2125636807105281;-0.6397144821696068;2.875248587314588;3.058018180064707;0.5274429969265427;17.729830984766394;False
TipoDisputa[MELHOR TÉCNICA E PREÇO];TipoDisputa;MELHOR TÉCNICA E PREÇO;MENOR LANCE;categoria versus referencia;1.0;0.0;0;;-0.49955760199366733;0.6070224155300228;-0.8229640112342106;0.4105284594423706;-1.6892996742410191;0.6901844702536843;0.6067990470298996;0.18464879302861079;1.9940833483777067;False
TipoEncerramento[ABERTO E FECHADO];TipoEncerramento;ABERTO E FECHADO;ABERTO;categoria versus referencia;1.0;0.0;0;;0.15984549605897957;0.067996092003265;2.3508041616760007;0.018732890321768444;0.026575604643108208;0.29311538747485094;1.173329572943404;1.0269318851454259;1.340597469664303;True
TipoEncerramento[FECHADO];TipoEncerramento;FECHADO;ABERTO;categoria versus referencia;1.0;0.0;0;;0.7169746653381701;0.19525358282395364;3.672017972569628;0.000240642754156847;0.3342846751508125;1.0996646555255278;2.048227254921202;1.396940761297776;3.0031587623691474;True
TipoEncerramento[FECHADO E ABERTO];TipoEncerramento;FECHADO E ABERTO;ABERTO;categoria versus referencia;1.0;0.0;0;;-0.7548639238619242;0.3556762059291209;-2.1223346158060217;0.03380964857676539;-1.4519764776408528;-0.05775137008299558;0.4700745763115689;0.2341071230326437;0.9438845962140552;True
TipoLance[GLOBAL];TipoLance;GLOBAL;UNITÁRIO;categoria versus referencia;1.0;0.0;0;;0.4996493949487504;0.11307573845222348;4.418714410252215;9.928974689297613e-06;0.2780250200571215;0.7212737698403793;1.6481433220163022;1.3205192362624956;2.0570517530628125;True
TipoLance[KIT];TipoLance;KIT;UNITÁRIO;categoria versus referencia;1.0;0.0;0;;0.07652200316818893;0.2776848165465874;0.27557143426079533;0.7828772525498662;-0.4677302363167344;0.6207742426531122;1.0795259430667365;0.6264224869038051;1.8603678605380025;False
tipo_lote_calc[Lote global];tipo_lote_calc;Lote global;Lote unitário;categoria versus referencia;1.0;0.0;0;;-0.6363281664054952;0.14765167448435554;-4.309657635971595;1.6350747572541805e-05;-0.9257201306518636;-0.3469362021591266;0.5292321130080314;0.3962459674392622;0.7068504223500477;True
